Topic Name (Required),Topic Description (Optional),Topic Type (Optional),Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
Greetings & Polite Phrases,Common greetings and polite expressions for everyday interactions,2,こんにちは,一般的なあいさつ。,Hello / Good afternoon,Standard greeting during the day,konnichiwa,
Greetings & Polite Phrases,,,こんばんは,夕方や夜に使うあいさつ。,Good evening,Used in the evening,konban wa,
Greetings & Polite Phrases,,,おはようございます,朝の丁寧なあいさつ。,Good morning,Formal morning greeting,ohayou gozaimasu,
Greetings & Polite Phrases,,,おやすみなさい,寝る前に言う。,Good night,Said before sleeping,oyasumi nasai,
Greetings & Polite Phrases,,,さようなら,長い別れの際に使う。,Goodbye,Formal farewell,sayounara,
Greetings & Polite Phrases,,,（では）お元気で,別れのときに健康を祈る表現。,Take care / Stay healthy,Used when parting,(dewa) o‑genki de,
Greetings & Polite Phrases,,,では、また,近いうちに会う時の別れ際。,See you later,"Literally “Well then, again”","dewa, mata",
Greetings & Polite Phrases,,,はじめまして,初対面の人に言う。,Nice to meet you,Self-introduction phrase,hajimemashite,
Greetings & Polite Phrases,,,どうぞよろしく,挨拶の最後に添える言葉。,Pleased to meet you / please treat me well,Said after introducing yourself,douzo yoroshiku,
Greetings & Polite Phrases,,,どうもありがとうございます,感謝の気持ちを強調する。,Thank you very much,Very polite thank you,doumo arigatou gozaimasu,
Greetings & Polite Phrases,,,ありがとうございます,丁寧な感謝の表現。,Thank you,Polite expression of thanks,arigatou gozaimasu,
Greetings & Polite Phrases,,,ありがとう,カジュアルな感謝の表現。,Thank you (casual),Informal thanks,arigatou,
Greetings & Polite Phrases,,,ごめんなさい,謝罪の言葉。,I’m sorry,Apology expression,gomennasai,
Greetings & Polite Phrases,,,すみません,謝罪や呼びかけに使う。,Excuse me / I’m sorry,Can mean “excuse me” or “sorry”,sumimasen,
Greetings & Polite Phrases,,,失礼します,入室や退出時の丁寧な言葉。,Excuse me (formal),Literally “I will commit a rudeness”,shitsurei shimasu,
Greetings & Polite Phrases,,,どういたしまして,お礼に対する返答。,You’re welcome,Response to thanks,dou itashimashite,
Greetings & Polite Phrases,,,いただきます,食べ始める前に言う。,I humbly receive (said before eating),Said before eating,itadakimasu,
Greetings & Polite Phrases,,,ごちそうさまでした,食後に言う感謝の言葉。,Thank you for the meal,Said after eating,gochisousama deshita,
Greetings & Polite Phrases,,,いらっしゃいませ,店で客を迎えるとき。,Welcome (to our shop),Greeting to customers,irasshaimase,
Greetings & Polite Phrases,,,お願いします,頼みごとをするとき。,Please (do this for me),Requesting something politely,onegai shimasu,
Greetings & Polite Phrases,,,こちらこそ,相手の感謝や挨拶に返す。,Likewise / It is I who should say so,Used to reciprocate thanks,kochirakoso,
Numbers & Counting,Basic Japanese numbers for counting,0,ゼロ,数字の0。,Zero,Number 0,zero,
Numbers & Counting,,,一,数字の1。,One,Number 1,ichi,
Numbers & Counting,,,二,数字の2。,Two,Number 2,ni,
Numbers & Counting,,,三,数字の3。,Three,Number 3,san,
Numbers & Counting,,,四,数字の4。「よん」と読むことが多い。,Four,Often read as “yon”,yon / shi,
Numbers & Counting,,,五,数字の5。,Five,Number 5,go,
Numbers & Counting,,,六,数字の6。,Six,Number 6,roku,
Numbers & Counting,,,七,数字の7。「なな」と読むことが多い。,Seven,Often read as “nana”,nana / shichi,
Numbers & Counting,,,八,数字の8。,Eight,Number 8,hachi,
Numbers & Counting,,,九,数字の9。,Nine,Number 9,kyuu / ku,
Numbers & Counting,,,十,数字の10。,Ten,Number 10,juu,
Numbers & Counting,,,二十,数字の20。,Twenty,Literally “two tens”,ni-juu,
Numbers & Counting,,,百,数字の100。,One hundred,Number 100,hyaku,
Numbers & Counting,,,千,数字の1000。,One thousand,Number 1000,sen,
Family & People,Vocabulary for family members and people,0,父,自分の父親を指す。,(my) father,Refers to one’s own father,chichi,
Family & People,,,母,自分の母親を指す。,(my) mother,Refers to one’s own mother,haha,
Family & People,,,お父さん,相手の父や自分の父を丁寧に呼ぶ。,father / dad,Polite way to say father,otousan,
Family & People,,,お母さん,相手の母や自分の母を丁寧に呼ぶ。,mother / mom,Polite way to say mother,okaasan,
Family & People,,,兄,自分の兄を指す。,(my) older brother,Older brother (humble),ani,
Family & People,,,姉,自分の姉を指す。,(my) older sister,Older sister (humble),ane,
Family & People,,,弟,自分の弟を指す。,younger brother,Younger brother,otouto,
Family & People,,,妹,自分の妹を指す。,younger sister,Younger sister,imouto,
Family & People,,,お兄さん,他人の兄や親しみを込めた呼び方。,older brother (polite),Polite or friendly form for older brother,oniisan,
Family & People,,,お姉さん,他人の姉や親しみを込めた呼び方。,older sister (polite),Polite or friendly form for older sister,oneesan,
Family & People,,,兄弟,兄と弟や姉妹をまとめて表す。,siblings,Brothers and sisters,kyoudai,
Family & People,,,子供,未成年の子。,child / children,Child or children,kodomo,
Family & People,,,友達,友人を指す。,friend,Friend,tomodachi,
Family & People,,,学生,学校に通う人。,student,Person who attends school,gakusei,
Family & People,,,先生,教師や指導者への敬称。,teacher / instructor,Honorific for teacher,sensei,
Family & People,,,家族,家のメンバー全体。,family,Members of a family,kazoku,
Family & People,,,男,男性を指す。,man / male,Male person,otoko,
Family & People,,,女,女性を指す。,woman / female,Female person,onna,
Food & Drink,"Common foods, drinks and related words",0,水,飲み物の基本。,water,Plain water,mizu,
Food & Drink,,,お茶,日本の伝統的な飲み物。,tea,General term for tea,ocha,
Food & Drink,,,コーヒー,飲み物、カフェイン入り。,coffee,Loanword for coffee,koohii,
Food & Drink,,,ご飯,白い炊いた米。,cooked rice / meal,Also means meal,gohan,
Food & Drink,,,パン,小麦から作られる。,bread,Loaf or slice of bread,pan,
Food & Drink,,,肉,動物の肉。,meat,General term for meat,niku,
Food & Drink,,,牛肉,牛の肉。,beef,Meat of cow,gyuuniku,
Food & Drink,,,豚肉,豚の肉。,pork,Meat of pig,butaniku,
Food & Drink,,,魚,水中に住む動物。,fish,Fish as food or animal,sakana,
Food & Drink,,,野菜,植物の食用部分。,vegetables,Edible vegetables,yasai,
Food & Drink,,,果物,甘い植物の実。,fruit,Fruits,kudamono,
Food & Drink,,,卵,鶏などの卵。,egg,Egg,tamago,
Food & Drink,,,砂糖,甘味料。,sugar,Sweetener,satou,
Food & Drink,,,塩,調味料。,salt,Seasoning salt,shio,
Food & Drink,,,美味しい,食べ物の味を褒める。,delicious / tasty,Describes good taste,oishii,
Food & Drink,,,飲み物,飲料全般。,drink / beverage,General term for drinks,nomimono,
Food & Drink,,,朝ご飯,朝食。,breakfast,Morning meal,asagohan,
Food & Drink,,,昼ご飯,昼食。,lunch,Noon meal,hirugohan,
Food & Drink,,,晩ご飯,夕食。,dinner,Evening meal,bangohan,
Food & Drink,,,食べる,食事をする。,to eat,Verb meaning to eat,taberu,
Food & Drink,,,飲む,飲料を摂取する。,to drink,Verb meaning to drink,nomu,
Daily Activities & Actions,Common verbs for daily activities,0,行く,目的地へ向かう。,to go,Verb expressing movement away,iku,
Daily Activities & Actions,,,来る,こちらへ移動する。,to come,Verb expressing movement towards speaker,kuru,
Daily Activities & Actions,,,帰る,家などへ戻る。,to return (home),To go back home,kaeru,
Daily Activities & Actions,,,見る,目で見る。,to see / to look,To look or watch,miru,
Daily Activities & Actions,,,聞く,音を聞く。,to hear / to listen,Also can mean “to ask”,kiku,
Daily Activities & Actions,,,話す,言葉を口に出す。,to speak / to talk,To converse,hanasu,
Daily Activities & Actions,,,読む,文字を理解する。,to read,Verb meaning to read,yomu,
Daily Activities & Actions,,,書く,文字を書く。,to write,Verb meaning to write,kaku,
