Topic Name (Required),Topic Description (Optional),Topic Type (Optional),Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
Greetings and Social Expressions,“Basic greetings and polite expressions for everyday social interactions in Japanese.”,“2 – Phrases”,“Hello”,””,“こんにちは”,“Daytime greeting”,“Konnichiwa”,””
Greetings and Social Expressions,””,””,“Good morning”,””,“おはようございます”,“Morning greeting, formal”,“Ohayō gozaimasu”,””
Greetings and Social Expressions,””,””,“Good evening”,””,“こんばんは”,“Evening greeting”,“Konbanwa”,””
Greetings and Social Expressions,””,””,“Thank you”,””,“ありがとう”,“Casual thanks”,“Arigatō”,””
Greetings and Social Expressions,””,””,“Thank you (formal)”,””,“ありがとうございます”,“Polite thanks”,“Arigatō gozaimasu”,””
Greetings and Social Expressions,””,””,“You’re welcome”,””,“どういたしまして”,“Response to thanks”,“Dōitashimashite”,””
Greetings and Social Expressions,””,””,“Goodbye (formal)”,””,“さようなら”,“Formal farewell”,“Sayōnara”,””
Greetings and Social Expressions,””,””,“See you later”,””,“またね”,“Casual farewell”,“Mata ne”,””
Greetings and Social Expressions,””,””,“Sorry / Excuse me”,””,“すみません”,“Apology or attention”,“Sumimasen”,””
Greetings and Social Expressions,””,””,“Yes”,””,“はい”,“Affirmation”,“Hai”,””
Greetings and Social Expressions,””,””,“No”,””,“いいえ”,“Negation”,“Iie”,””
Greetings and Social Expressions,””,””,“How are you?”,””,“お元気ですか”,“Inquiry about health”,“Ogenki desu ka”,””
Greetings and Social Expressions,””,””,“I’m fine”,””,“元気です”,“Response to how are you”,“Genki desu”,””
Greetings and Social Expressions,””,””,“What’s your name?”,””,“名前は何ですか”,“Introduction question”,“Namae wa nan desu ka”,””
Greetings and Social Expressions,””,””,“My name is…”,””,“私の名前は…です”,“Self-introduction”,“Watashi no namae wa … desu”,””
Greetings and Social Expressions,””,””,“Nice to meet you”,””,“はじめまして”,“First meeting”,“Hajimemashite”,””
Greetings and Social Expressions,””,””,“Please treat me well”,””,“よろしくお願いします”,“Polite request in introduction”,“Yoroshiku onegaishimasu”,””
Greetings and Social Expressions,””,””,“You”,””,“あなた”,“Addressing someone”,“Anata”,””
Greetings and Social Expressions,””,””,“Who”,””,“だれ”,“Question for person”,“Dare”,””
Greetings and Social Expressions,””,””,“Someone”,””,“だれか”,“Indefinite person”,“Dareka”,””
Numbers,“Basic numbers and counting from 1 to 100, essential for shopping and daily counts.”,“0 – Vocab”,“One”,””,“一”,“Kanji: いち”,“Ichi”,””
Numbers,””,””,“Two”,””,“二”,“Kanji: に”,“Ni”,””
Numbers,””,””,“Three”,””,“三”,“Kanji: さん”,“San”,””
Numbers,””,””,“Four”,””,“四”,“Kanji: よん or し”,“Yon or Shi”,””
Numbers,””,””,“Five”,””,“五”,“Kanji: ご”,“Go”,””
Numbers,””,””,“Six”,””,“六”,“Kanji: ろく”,“Roku”,””
Numbers,””,””,“Seven”,””,“七”,“Kanji: なな or しち”,“Nana or Shichi”,””
Numbers,””,””,“Eight”,””,“八”,“Kanji: はち”,“Hachi”,””
Numbers,””,””,“Nine”,””,“九”,“Kanji: きゅう or く”,“Kyū or Ku”,””
Numbers,””,””,“Ten”,””,“十”,“Kanji: じゅう”,“Jū”,””
Numbers,””,””,“Eleven”,””,“十一”,“Kanji: じゅういち”,“Jūichi”,””
Numbers,””,””,“Twenty”,””,“二十”,“Kanji: にじゅう”,“Nijū”,””
Numbers,””,””,“Hundred”,””,“百”,“Kanji: ひゃく”,“Hyaku”,””
Numbers,””,””,“Number”,””,“番号”,“Kanji: ばんごう”,“Bangō”,””
Numbers,””,””,“First”,””,“一”,“Kanji ordinal: いちばん”,“Ichiban”,””
